Supplementary Materials: Binding data for rapamycin regulatory network																
ORF	Gene name	Description	Binding p-values													
			DAL80 Rapamycin	DAL81 Rapamycin	DAL82 Rapamycin	FHL1 Rapamycin	GCN4 Rapamycin	UGA3 Rapamycin	RTG1 Rapamycin	RTG3 Rapamycin	MSN2 Rapamycin	MSN4 Rapamycin	GAT1 Rapamycin	HAP2 Rapamycin	GLN3 Rapamycin	GZF3 Rapamycin
YOL163W	YOL163W	similarity to P. putida phthalate transporter	0.443	0.47	0.449	0.778	0.753	0.872	0.457	0.757	0.466	0.499	0.466	0.443	0.597	0.433
YOL164W	YOL164W	similarity to Pseudomonas alkyl sulfatase	0.185	0.659	0.502	0.822	0.305	0.926	0.69	0.846	0.791	0.651	0.801	0.84	0.882	0.526
YOL165C	AAD15	putative aryl alcohol dehydrogenase	0.389	0.817	0.492	0.601	0.577	0.807	0.76	0.801	0.784	0.703	0.907	0.881	0.78	0.537
YOL166C	YOL166C	hypothetical protein	0.061	0.721	0.205	0.478	0.704	0.593	0.436	0.467	0.401	0.098	0.66	0.813	0.469	0.073
YOR001W	RRP6	similarity to human nucleolar 100K polymyositis-scleroderma protein	0.391	0.3	0.062	0.494	0.765	0.433	0.35	0.321	0.21	0.135	0.238	0.441	0.235	0.039
YOR002W	ALG6	glucosyltransferase	0.46	0.397	0.786	0.828	0.681	0.768	0.507	0.865	0.684	0.793	0.503	0.77	0.884	0.638
YOR003W	YSP3	subtilisin-like protease III	0.904	0.809	0.723	0.687	0.653	0.551	0.836	0.941	0.824	0.877	0.274	0.498	0.369	0.447
YOR004W	YOR004W	weak similarity to hypothetical protein YDR339c	0.055	0.031	0.077	0.34	0.367	0.142	0.063	0.091	0.046	0.083	0.177	0.266	0.24	0.278
YOR005C	DNL4	DNA ligase IV	0.367	0.194	0.243	0.407	0.169	0.135	0.21	0.487	0.238	0.254	0.13	0.142	0.093	0.195
YOR006C	YOR006C	similarity to M.jannaschii hypothetical protein MJ0708	0.601	0.668	0.699	0.722	0.734	0.208	0.452	0.878	0.521	0.748	0.772	0.468	0.781	0.57
YOR007C	SGT2	similarity to protein phosphatases	0.463	0.096	0.29	0.921	0.875	0.69	0.356	0.401	0.381	0.23	0.675	0.753	0.736	0.923
YOR008C	SLG1	required for cell wall integrity and for stress response	0.642	0.51	0.457	0.576	0.6	0.35	0.233	0.693	0.45	0.408	0.535	0.399	0.514	0.436
YOR008C-A	KIM1	reduced growth in diepoxybutane and/or mitomycin C	0.155	0.571	0.455	0.709	0.866	0.935	0.794	0.911	0.874	0.785	0.92	0.843	0.919	0.905
YOR009W	TIR4	similarity to TIR1P and TIR2P	0.155	0.571	0.455	0.709	0.866	0.935	0.794	0.911	0.874	0.785	0.92	0.843	0.919	0.905
YOR010C	TIR2	cold shock induced protein	0.21	0.599	0.632	0.643	0.747	0.834	0.731	0.749	0.867	0.764	0.708	0.814	0.803	0.736
YOR011W	AUS1	strong similarity to ATP-dependent permeases	0.711	0.622	0.643	0.41	0.75	0.851	0.354	0.692	0.684	0.692	0.718	0.73	0.611	0.359
YOR012W	YOR012W	similarity to YDR391c	0.406	0.564	0.387	0.245	0.268	0.35	0.144	0.089	0.207	0.229	0.248	0.15	0.252	0.112
YOR013W	YOR013W	strong similarity to YDR391c	0.406	0.564	0.387	0.245	0.268	0.35	0.144	0.089	0.207	0.229	0.248	0.15	0.252	0.112
YOR014W	RTS1	potential regulatory subunit of protein phosphatase 2A	0.541	0.903	0.801	0.582	0.768	0.816	0.506	0.694	0.803	0.514	0.766	0.817	0.89	0.688
YOR015W	YOR015W	hypothetical protein	0.541	0.903	0.801	0.582	0.768	0.816	0.506	0.694	0.803	0.514	0.766	0.817	0.89	0.688
YOR016C	ERP4	similarity to human COP-coated vesicle membrane protein	0.329	0.894	0.508	0.487	0.73	0.422	0.432	0.784	0.464	0.476	0.722	0.664	0.744	0.734
YOR017W	PET127	component of mitochondrial translation system	0.329	0.894	0.508	0.487	0.73	0.422	0.432	0.784	0.464	0.476	0.722	0.664	0.744	0.734
YOR018W	ROD1	"O-dinitrobenzene,calcium and zinc resistance protein"	0.53	0.35	0.127	0.503	0.703	0.763	0.238	0.421	0.276	0.227	0.504	0.601	0.481	0.403
YOR019W	YOR019W	similarity to YDR474c	0.064	0.129	0.186	0.431	0.54	0.413	0.081	0.22	0.193	0.16	0.418	0.48	0.44	0.268
YOR020C	HSP10	"chaperonin, mitochondrial"	0.251	0.076	0.458	0.487	0.459	0.512	0.278	0.149	0.54	0.204	0.456	0.522	0.508	0.593
YOR021C	YOR021C	similarity to Pyrococcus horikoshii hypothetical protein PHBQ041	0.001	0.003	0.003	0.299	0.51	0.285	0.002	0.024	0.002	0.006	0.242	0.151	0.336	0.096
YOR022C	YOR022C	weak similarity to D.melanogaster probable Ca2+ transporter rdgB	0.265	0.765	0.524	0.489	0.572	0.575	0.276	0.439	0.28	0.348	0.501	0.37	0.477	0.418
YOR023C	AHC1	component of the ADA histone acetyltransferase complex	0.308	0.482	0.555	0.93	0.919	0.894	0.817	0.846	0.787	0.833	0.85	0.492	0.921	0.8
YOR024W	YOR024W	hypothetical protein	0.308	0.482	0.555	0.93	0.919	0.894	0.817	0.846	0.787	0.833	0.85	0.492	0.921	0.8
YOR025W	HST3	silencing protein	0.308	0.482	0.555	0.93	0.919	0.894	0.817	0.846	0.787	0.833	0.85	0.492	0.921	0.8
YOR026W	BUB3	cell cycle arrest protein	0.661	0.741	0.816	0.583	0.692	0.727	0.68	0.729	0.494	0.522	0.713	0.642	0.649	0.695
YOR027W	STI1	stress-induced protein	0.565	0.229	0.635	0.552	0.28	0.692	0.744	0.674	0.521	0.488	0.337	0.702	0.433	0.772
YOR028C	CIN5	transcriptional activator	0.748	0.495	0.502	0.585	0.473	0.761	0.576	0.561	0.559	0.784	0.46	0.636	0.599	0.344
YOR029W	YOR029W	hypothetical protein	0.748	0.495	0.502	0.585	0.473	0.761	0.576	0.561	0.559	0.784	0.46	0.636	0.599	0.344
YOR030W	DFG16	involved in invasive growth upon nitrogen starvation	0.004	0.006	0.007	0.34	0.435	0.182	0.024	0.039	0.009	0.056	0.067	0.036	0.109	0.033
YOR031W	CRS5	"suppressor of cup1 deletion, metallothionein-like protein"	0.51	0.611	0.485	0.632	0.654	0.319	0.54	0.3	0.428	0.501	0.644	0.438	0.615	0.463
YOR032C	HMS1	weak similarity to DNA-binding proteins	0.766	0.494	0.745	0.853	0.336	0.869	0.972	0.853	0.847	0.828	0.888	0.925	0.686	0.83
YOR033C	EXO1	exonuclease which interacts with MSH2P	0.372	0.351	0.236	0.528	0.706	0.522	0.09	0.393	0.184	0.51	0.402	0.422	0.501	0.553
YOR034C	AKR2	involved in constitutive endocytosis of STE3P	0.509	0.595	0.449	0.549	0.316	0.41	0.301	0.43	0.528	0.427	0.254	0.255	0.25	0.238
YOR035C	SHE4	required for mother cell-specific gene expression	0.511	0.782	0.786	0.63	0.553	0.462	0.45	0.461	0.452	0.589	0.585	0.314	0.495	0.628
YOR036W	PEP12	"syntaxin (T-SNARE), vacuolar"	0.511	0.782	0.786	0.63	0.553	0.462	0.45	0.461	0.452	0.589	0.585	0.314	0.495	0.628
YOR037W	CYC2	cytochrome-c mitochondrial import factor	0.769	0.785	0.813	0.712	0.708	0.16	0.431	0.499	0.576	0.57	0.315	0.192	0.362	0.393
YOR038C	HIR2	histone transcription regulator	0.648	0.925	0.705	0.86	0.072	0.78	0.461	0.429	0.671	0.472	0.56	0.757	0.712	0.541
YOR039W	CKB2	casein kinase II beta' chain	0.648	0.925	0.705	0.86	0.072	0.78	0.461	0.429	0.671	0.472	0.56	0.757	0.712	0.541
YOR040W	GLO4	glyoxalase II (hydroxyacylglutathione hydrolase)	0.488	0.387	0.445	0.643	0.555	0.335	0.201	0.45	0.248	0.271	0.585	0.569	0.678	0.358
YOR041C	YOR041C	questionable ORF	0.147	0.029	0.207	0.524	0.776	0.461	0.32	0.426	0.442	0.487	0.274	0.173	0.195	0.68
YOR042W	YOR042W	weak similarity to YDR273w	0.529	0.209	0.194	0.83	0.797	0.42	0.795	0.438	0.556	0.529	0.192	0.329	0.189	0.695
YOR043W	WHI2	growth regulation protein	0.037	0.003	0.004	0.079	0.005	0.024	0.056	0.014	0.009	0.015	0.028	0.039	0.011	0.235
YOR044W	YOR044W	weak similarity to YDR275w	0.193	0.039	0.121	0.322	0.004	0.104	0.111	0.156	0.101	0.135	0.054	0.094	0.122	0.396
YOR045W	TOM6	"mitochondrial outer membrane import receptor subunit, 6 kD"	0.877	0.865	0.843	0.604	0.66	0.381	0.522	0.712	0.438	0.687	0.65	0.4	0.462	0.709
YOR046C	DBP5	RNA helicase	0.07	0.222	0.044	0.058	0.455	0.045	0.054	0.054	0.051	0.095	0.383	0.185	0.137	0.108
YOR047C	STD1	dosage-dependent modulator of glucose repression	0.848	0.324	0.732	0.555	0.748	0.594	0.659	0.886	0.623	0.799	0.661	0.612	0.807	0.908
YOR048C	RAT1	5'-3' exoribonuclease	0.06	0.266	0.096	0.35	0.346	0.248	0.151	0.198	0.099	0.161	0.257	0.15	0.193	0.142
YOR049C	YOR049C	"similarity to YER185w, RTA1P"	0.74	0.475	0.77	0.735	0.527	0.533	0.726	0.802	0.639	0.643	0.893	0.612	0.822	0.794
YOR050C	YOR050C	hypothetical protein	0.946	0.16	0.737	0.685	0.019	0.484	0.749	0.481	0.378	0.742	0.44	0.702	0.347	0.829
YOR051C	YOR051C	weak similarity to myosin heavy chain proteins	0.185	0.015	0.041	0.168	0.02	0.033	0.049	0.044	0.024	0.029	0.083	0.078	0.106	0.387
YOR052C	YOR052C	similarity to hypothetical protein S. pombe	0.727	0.309	0.472	0.284	0.319	0.364	0.829	0.541	0.552	0.583	0.249	0.312	0.165	0.803
YOR053W	YOR053W	similarity to protamines	0.727	0.309	0.472	0.284	0.319	0.364	0.829	0.541	0.552	0.583	0.249	0.312	0.165	0.803
YOR054C	YOR054C	similarity to SIS2P protein and C.tropicalis hal3 protein	0.406	0.531	0.757	0.53	0.389	0.739	0.693	0.774	0.65	0.62	0.792	0.908	0.668	0.734
YOR055W	YOR055W	questionable ORF	0.727	0.309	0.472	0.284	0.319	0.364	0.829	0.541	0.552	0.583	0.249	0.312	0.165	0.803
YOR056C	YOR056C	weak similarity to human phosphorylation regulatory protein HP-10	0.047	0.278	0.132	0.101	0.266	0.505	0.039	0.104	0.059	0.06	0.369	0.443	0.269	0.213
YOR057W	SGT1	suppressor of G2 allele of SKP1	0.047	0.278	0.132	0.101	0.266	0.505	0.039	0.104	0.059	0.06	0.369	0.443	0.269	0.213
YOR058C	ASE1	microtubule-associated protein (nonmotor)	0.293	0.33	0.305	0.031	0.143	0.084	0.05	0.179	0.081	0.115	0.046	0.048	0.017	0.004
YOR059C	YOR059C	weak similarity to YGL144c	0.317	0.369	0.1	0.422	0.647	0.468	0.139	0.241	0.261	0.323	0.309	0.229	0.412	0.195
YOR060C	YOR060C	hypothetical protein	0.74	0.824	0.883	0.704	0.893	0.872	0.735	0.814	0.856	0.865	0.742	0.907	0.845	0.787
YOR061W	CKA2	casein kinase II alpha' chain	0.74	0.824	0.883	0.704	0.893	0.872	0.735	0.814	0.856	0.865	0.742	0.907	0.845	0.787
YOR062C	YOR062C	strong similarity to YKR075c	0.887	0.252	0.966	0.116	0.683	0.994	0.902	0.792	0.954	0.969	0.967	0.987	0.96	0.979
YOR063W	RPL3	60S large subunit ribosomal protein L3.e	0.887	0.252	0.966	0.116	0.683	0.994	0.902	0.792	0.954	0.969	0.967	0.987	0.96	0.979
YOR064C	YNG1	"component of histone acetyltransferase complex, has similarity to human retinoblastoma binding protein 2"	0.807	0.63	0.889	0.781	0.623	0.713	0.811	0.774	0.883	0.874	0.773	0.478	0.749	0.924
YOR065W	CYT1	cytochrome-c1	0.807	0.63	0.889	0.781	0.623	0.713	0.811	0.774	0.883	0.874	0.773	0.478	0.749	0.924
YOR066W	YOR066W	hypothetical protein	0.511	0.572	0.667	0.288	0.258	0.357	0.346	0.362	0.271	0.439	0.5	0.645	0.383	0.41
YOR067C	ALG8	glucosyltransferase	0.574	0.21	0.769	0.767	0.591	0.945	0.892	0.514	0.716	0.898	0.487	0.934	0.422	0.865
YOR068C	YOR068C	hypothetical protein	0.47	0.844	0.657	0.753	0.793	0.475	0.619	0.852	0.635	0.507	0.773	0.808	0.826	0.728
YOR069W	VPS5	involved in Golgi retention and vacuolar sorting	0.47	0.844	0.657	0.753	0.793	0.475	0.619	0.852	0.635	0.507	0.773	0.808	0.826	0.728
YOR070C	GYP1	GTPase activating protein for YPT1P and SEC4P	0.478	0.839	0.814	0.713	0.716	0.789	0.63	0.672	0.811	0.741	0.88	0.82	0.782	0.852
YOR071C	YOR071C	"strong similarity to,Thi10p"	0.486	0.74	0.47	0.439	0.452	0.457	0.644	0.706	0.715	0.587	0.729	0.533	0.627	0.53
YOR072W	YOR072W	hypothetical protein	0.486	0.74	0.47	0.439	0.452	0.457	0.644	0.706	0.715	0.587	0.729	0.533	0.627	0.53
YOR073W	YOR073W	hypothetical protein	0.994	0.806	0.919	0.85	0.805	0.882	0.891	0.899	0.863	0.903	0.579	0.81	0.608	0.863
YOR074C	CDC21	thymidylate synthase	0.317	0.831	0.518	0.608	0.328	0.279	0.259	0.195	0.341	0.527	0.429	0.463	0.575	0.374
YOR075W	UFE1	syntaxin (T-SNARE) of the ER	0.317	0.831	0.518	0.608	0.328	0.279	0.259	0.195	0.341	0.527	0.429	0.463	0.575	0.374
YOR076C	SKI7	GTPase with function in 3'-to-5' degradation of mRNA	0.258	0.564	0.178	0.801	0.705	0.637	0.301	0.511	0.328	0.463	0.736	0.592	0.616	0.402
YOR077W	RTS2	similarity to mouse KIN17 protein	0.258	0.564	0.178	0.801	0.705	0.637	0.301	0.511	0.328	0.463	0.736	0.592	0.616	0.402
YOR078W	BUD21	weak similarity to YMR172w	0.589	0.594	0.853	0.787	0.794	0.887	0.859	0.844	0.83	0.883	0.843	0.769	0.91	0.924
YOR079C	ATX2	multicopy suppressor of SOD-linked defects	0.13	0.4	0.108	0.549	0.318	0.375	0.153	0.192	0.219	0.234	0.252	0.272	0.352	0.451
YOR080W	DIA2	weak similarity to TRCDSEMBL:RNRNAHOP_1 Rattus norvegicus mRNA for Hsp70/Hsp90 organizing protein	0.13	0.4	0.108	0.549	0.318	0.375	0.153	0.192	0.219	0.234	0.252	0.272	0.352	0.451
YOR081C	YOR081C	strong similarity to YKR089c	0.253	0.769	0.556	0.898	0.735	0.855	0.704	0.616	0.477	0.788	0.817	NaN	0.844	0.583
YOR082C	YOR082C	questionable ORF	0.236	0.226	0.047	0.713	0.932	0.434	0.856	0.801	0.651	0.839	0.577	0.42	0.599	0.455
YOR083W	YOR083W	weak similarity to YKR091w	0.253	0.769	0.556	0.898	0.735	0.855	0.704	0.616	0.477	0.788	0.817	NaN	0.844	0.583
YOR084W	YOR084W	hypothetical protein	0.236	0.226	0.047	0.713	0.932	0.434	0.856	0.801	0.651	0.839	0.577	0.42	0.599	0.455
YOR085W	OST3	oligosaccharyltransferase gamma subunit	0.426	0.838	0.866	0.855	0.896	0.725	0.895	0.869	0.83	0.872	0.863	0.751	0.922	0.818
YOR086C	YOR086C	weak similarity to synaptogamines	0.874	0.578	0.765	0.799	0.716	0.466	0.776	0.799	0.744	0.653	0.312	0.512	0.534	0.883
YOR087W	YOR087W	hypothetical protein	0.899	0.671	0.891	0.913	0.903	0.735	0.944	0.763	0.841	0.91	0.589	0.589	0.527	0.939
YOR088W	YOR088W	weak similarity to human calcium influx channel	0.899	0.671	0.891	0.913	0.903	0.735	0.944	0.763	0.841	0.91	0.589	0.589	0.527	0.939
YOR089C	VPS21	GTP-binding protein	0.203	0.429	0.445	0.582	0.674	0.349	0.448	0.436	0.291	0.295	0.251	0.342	0.304	0.412
YOR090C	PTC5	putative 2C protein phosphatase (PP2Cs)	0.034	0.125	0.027	0.381	0.606	0.171	0.039	0.172	0.064	0.175	0.377	0.161	0.406	0.349
YOR091W	YOR091W	similarity to hypothetical S.pombe protein D83992_G	0.034	0.125	0.027	0.381	0.606	0.171	0.039	0.172	0.064	0.175	0.377	0.161	0.406	0.349
YOR092W	ECM3	involved in cell wall biogenesis and architecture	0.096	0.437	0.095	0.27	0.564	0.238	0.42	0.09	0.24	0.288	0.333	0.232	0.218	0.155
YOR093C	YOR093C	similarity to S.pombe hypothetical protein SPAC22F3.04	0.02	0.492	0.108	0.492	0.795	0.338	0.2	0.208	0.16	0.325	0.5	0.393	0.506	0.309
YOR094W	ARF3	ADP-ribosylation factor 3	0.02	0.492	0.108	0.492	0.795	0.338	0.2	0.208	0.16	0.325	0.5	0.393	0.506	0.309
YOR095C	RKI1	D-ribose-5-phosphate ketol-isomerase	0.845	0.96	0.885	0	0.739	0.837	0.792	0.582	0.848	0.882	0.899	0.886	0.881	0.748
YOR096W	RPS7A	ribosomal protein	0.845	0.96	0.885	0	0.739	0.837	0.792	0.582	0.848	0.882	0.899	0.886	0.881	0.748
YOR097C	YOR097C	hypothetical protein	0.507	0.87	0.784	0.456	0.806	0.246	0.542	0.729	0.632	0.659	0.667	0.752	0.653	0.511
YOR098C	NUP1	nuclear pore protein	0.61	0.692	0.876	0.674	0.78	0.916	0.771	0.625	0.882	0.854	0.822	0.921	NaN	0.895
YOR099W	KTR1	mannosyltransferase involved in n-linked and o-linked glycosylation	0.61	0.692	0.876	0.674	0.78	0.916	0.771	0.625	0.882	0.854	0.822	0.921	NaN	0.895
YOR100C	CRC1	"mitochondrial carnitine carrier, member of the mitochondrial carrier (MCF) family"	0.704	0.249	0.646	0.521	0.4	0.946	0.746	0.145	0.875	0.884	0.91	0.957	0.87	0.944
YOR101W	RAS1	GTP-binding protein	0.704	0.249	0.646	0.521	0.4	0.946	0.746	0.145	0.875	0.884	0.91	0.957	0.87	0.944
YOR102W	YOR102W	questionable ORF	0.094	0.129	0.089	0.415	0.762	0.523	0.248	0.525	0.389	0.465	0.415	0.372	0.488	0.209
YOR103C	OST2	oligosaccharyltransferase epsilon subunit	0.342	0.401	0.494	0.555	0.469	0.689	0.544	0.518	0.558	0.454	0.792	0.811	0.726	0.706
YOR104W	PIN2	hypothetical protein	0.342	0.401	0.494	0.555	0.469	0.689	0.544	0.518	0.558	0.454	0.792	0.811	0.726	0.706
YOR105W	YOR105W	questionable ORF	0.342	0.401	0.494	0.555	0.469	0.689	0.544	0.518	0.558	0.454	0.792	0.811	0.726	0.706
YOR106W	VAM3	syntaxin (t-SNARE)	0.179	0.499	0.158	0.225	0.473	0.362	0.153	0.427	0.263	0.375	0.541	0.241	0.389	0.242
YOR107W	RGS2	negative regulator of glucose-induced cAMP signaling pathway	0.851	0.624	0.601	0.597	0.732	0.966	0.906	0.889	0.895	0.912	0.943	0.969	0.799	0.916
YOR108W	YOR108W	strong similarity to LEU4P	0.633	0.255	0.129	0.376	0.001	0.895	0.407	0.252	0.542	0.828	0.657	0.748	0.673	0.732
YOR109W	INP53	phosphatidylinositol phosphate phosphatase	0.786	0.856	0.801	0.649	0.765	0.854	0.604	0.921	0.765	0.809	0.921	0.9	0.942	0.889
YOR110W	TFC7	"TFIIIC (transcription initiation factor) subunit, 55 kDa"	0.784	0.85	0.779	0.724	0.897	0.921	0.855	0.946	0.869	0.91	0.881	0.824	0.911	0.769
YOR111W	YOR111W	weak similarity to B.subtilis maf protein	0.535	0.624	0.64	0.622	0.901	0.753	0.748	0.854	0.762	0.659	0.643	0.539	0.674	0.664
YOR112W	YOR112W	similarity to C.elegans hypothetical protein	0.044	0.078	0.039	0.608	0.817	0.879	0.1	0.489	0.213	0.24	0.743	0.532	0.57	0.703
YOR113W	AZF1	asparagine-rich zinc finger protein	0.547	0.875	0.812	0.863	0.059	0.782	0.76	0.875	0.783	0.863	0.887	0.873	0.739	0.703
YOR114W	YOR114W	hypothetical protein	0.299	0.631	0.482	0.463	0.135	0.55	0.407	0.585	0.527	0.431	0.756	0.708	0.551	0.394
YOR115C	TRS33	TRAPP subunit of 33 kDa involved in targeting and fusion of ER to golgi transport vesicles	0.235	0.589	0.445	0.324	0.475	0.521	0.237	0.619	0.54	0.438	0.604	0.477	0.289	0.272
YOR116C	RPO31	"DNA-directed RNA polymerase III, 160 KD subunit"	0.098	0.384	0.105	0.379	0.676	0.389	0.105	0.265	0.121	0.189	0.446	0.466	0.529	0.241
YOR117W	RPT5	26S proteasome regulatory subunit	0.098	0.384	0.105	0.379	0.676	0.389	0.105	0.265	0.121	0.189	0.446	0.466	0.529	0.241
YOR118W	YOR118W	similarity to PIR:T39884 hypothetical protein SPBC21.02 S. pombe	0.532	0.482	0.412	0.331	0.538	0.34	0.416	0.683	0.323	0.475	0.437	0.443	0.396	0.393
YOR119C	RIO1	similarity to a C.elegans ZK632.3 protein	0.769	0.68	0.51	0.245	0.147	0.744	0.702	0.621	0.775	0.79	0.81	0.901	0.782	0.647
YOR120W	GCY1	galactose-induced protein of aldo/keto reductase family	0.769	0.68	0.51	0.245	0.147	0.744	0.702	0.621	0.775	0.79	0.81	0.901	0.782	0.647
YOR121C	YOR121C	questionable ORF	0.529	0.408	0.342	0.529	0.764	0.262	0.751	0.63	0.664	0.543	0.21	0.237	0.395	0.791
YOR122C	PFY1	profilin	0.813	0.665	0.755	0.828	0.43	0.882	0.621	0.486	0.703	0.683	0.721	0.707	0.763	0.497
YOR123C	LEO1	extremely hydrophilic protein	0.159	0.408	0.24	0.718	0.198	0.507	0.369	0.274	0.43	NaN	0.277	0.234	0.431	0.365
YOR124C	UBP2	ubiquitin-specific proteinase	0.017	0.053	0.022	0.166	0.1	0.063	0.031	0.093	0.021	0.016	0.11	0.069	0.138	0.153
YOR125C	CAT5	involved in coenzyme Q (ubiquinone) biosynthesis	0.236	0.499	NaN	0.582	0.841	0.658	0.444	0.324	0.39	0.338	0.288	0.431	NaN	0.365
YOR126C	IAH1	isoamyl acetate hydrolytic enzyme	0.026	0.213	0.084	0.54	0.682	0.374	0.222	0.451	0.368	0.249	0.396	0.437	0.411	0.176
YOR127W	RGA1	RHO-type GTPase-activating protein for CDC42P	0.026	0.213	0.084	0.54	0.682	0.374	0.222	0.451	0.368	0.249	0.396	0.437	0.411	0.176
YOR128C	ADE2	phosphoribosylaminoimidazole carboxylase	0.098	0.215	0.286	0.325	0.03	0.261	0.151	0.068	0.041	0.039	0.083	0.285	0.089	0.017
YOR129C	YOR129C	weak similarity to hypothetical protein SPBC776.06c S. pombe	0.151	0.415	NaN	0.58	0.634	0.172	0.184	0.369	0.455	0.451	0.224	0.145	0.244	0.124
YOR130C	ORT1	"ornithine transport protein of mitochondria involved in arginine metabolism, member of the mitochondrial carrier family (MCF)"	0.872	0.282	0.481	0.453	0	0.474	0.708	0.122	0.753	0.839	0.035	0.115	0.021	0.318
YOR131C	YOR131C	weak similarity to E.coli hypothetical 27K protein	0.243	0.753	0.637	0.793	0.599	0.492	0.327	0.53	0.495	0.698	0.584	0.594	0.789	0.292
YOR132W	VPS17	vacuolar protein sorting-associated protein	0.243	0.753	0.637	0.793	0.599	0.492	0.327	0.53	0.495	0.698	0.584	0.594	0.789	0.292
YOR133W	EFT1	translation elongation factor eEF2	0.798	0.897	0.814	0.715	0.691	0.694	0.649	0.625	0.584	0.729	0.63	0.417	0.701	0.468
YOR134W	BAG7	structural homolog of SAC7P	0.504	0.842	0.891	0.77	0.739	0.696	0.688	0.86	0.817	0.798	0.803	0.758	0.842	0.709
YOR135C	YOR135C	questionable ORF	0.46	0.614	0.802	0.53	0.433	0.131	0.437	0.217	0.393	0.257	0.084	0.106	0.13	0.153
YOR136W	IDH2	"isocitrate dehydrogenase (NAD+) subunit 2, mitochondrial"	0.906	0.063	0.683	0.899	0.298	0.841	0.926	0.001	0.706	0.852	0.379	0.539	0.434	0.908
YOR137C	YOR137C	similarity to YLR361c	0.862	0.471	0.746	0.426	0.516	0.314	0.462	0.424	0.415	0.617	0.098	0.089	0.051	0.053
YOR138C	YOR138C	weak similarity to TRCDSEMBL:AF175293_2 gene: vanSD sensor protein kinase Enterococcus faecium strain vanD glycopeptide resistance gene cluster	0.668	0.851	0.764	0.946	0.944	0.688	0.823	0.941	0.804	0.812	0.955	0.929	0.964	0.963
YOR139C	YOR139C	questionable ORF	0.427	0.834	0.708	0.562	0.854	0.44	0.338	0.531	0.466	0.35	0.488	0.461	0.644	0.263
YOR140W	SFL1	transcription factor	0.668	0.851	0.764	0.946	0.944	0.688	0.823	0.941	0.804	0.812	0.955	0.929	0.964	0.963
YOR141C	ARP8	Actin-related protein	0.248	0.293	0.18	0.868	0.38	0.529	0.432	0.663	0.369	0.544	0.478	0.501	0.491	0.533
YOR142W	LSC1	succinate-CoA ligase alpha subunit	0.248	0.293	0.18	0.868	0.38	0.529	0.432	0.663	0.369	0.544	0.478	0.501	0.491	0.533
YOR142W-A	#REF!		0.91	0.27	0.634	0.83	0.763	0.497	0.745	0.503	0.542	0.532	0.026	0.05	0.028	0.522
YOR142W-B	#REF!		0.91	0.27	0.634	0.83	0.763	0.497	0.745	0.503	0.542	0.532	0.026	0.05	0.028	0.522
YOR143C	THI80	thiamin pyrophosphokinase	0.17	0.147	0	0.339	0.421	0.109	0.097	0.036	0.109	0.178	0.011	0.025	0.025	0.016
YOR144C	EFD1	weak similarity to human DNA-binding protein PO-GA and to bacterial H+-transporting ATP synthases	0.231	0.627	0.292	0.77	0.877	0.501	0.371	0.406	0.231	0.43	0.472	0.606	0.427	0.312
YOR145C	YOR145C	strong similarity to hypothtical S. pombe protein and to hypothetical C. elegans protein	0.288	0.148	0.345	0.373	0.121	0.042	0.253	0.266	0.404	0.503	0.005	0.025	0.01	NaN
YOR146W	YOR146W	questionable ORF	0.231	0.627	0.292	0.77	0.877	0.501	0.371	0.406	0.231	0.43	0.472	0.606	0.427	0.312
YOR147W	YOR147W	similarity to YHR194w	0.288	0.148	0.345	0.373	0.121	0.042	0.253	0.266	0.404	0.503	0.005	0.025	0.01	NaN
YOR148C	SPP2	involved in pre-mRNA processing	0.082	0.141	0.057	0.303	0.293	0.039	0.029	0.14	0.126	0.218	0.153	0.039	0.039	0.042
YOR149C	SMP3	protein kinase C pathway protein	0.369	0.868	0.735	0.732	0.774	0.644	0.679	0.861	0.698	0.747	0.785	0.75	0.791	0.479
YOR150W	MRPL23	"ribosomal protein of the large subunit, mitochondrial"	0.369	0.868	0.735	0.732	0.774	0.644	0.679	0.861	0.698	0.747	0.785	0.75	0.791	0.479
YOR151C	RPB2	"DNA-directed RNA polymerase II, 140 kDa chain"	0.415	0.424	0.245	0.203	0.45	0.31	0.08	0.262	0.075	0.07	0.292	0.44	0.352	0.378
YOR152C	YOR152C	hypothetical protein	0.474	0.228	0.478	0.631	0.394	0.917	0.685	0.783	0.825	0.64	0.597	0.681	0.617	0.511
YOR153W	PDR5	pleiotropic drug resistance protein	0.927	0.027	0.422	0.72	0.763	0.96	0.938	0.429	0.33	0.729	0.309	0.675	0.288	0.927
YOR154W	YOR154W	similarity to hypothetical A. thaliana proteins F19G10.15 and T19F06.21	0.621	0.211	0.495	0.058	0.157	0.027	0.387	0.34	0.558	0.415	0.001	0.007	0.008	0.011
YOR155C	YOR155C	similarity to 5'-flanking region of the Pichia MOX gene	0.636	0.76	0.823	0.615	0.54	0.43	0.613	0.865	0.82	0.619	0.45	0.507	0.533	0.419
YOR156C	NFI1	interacts with CDC12P in 2-hybrid assay	0.561	0.307	0.321	0.232	0.482	0.21	0.256	0.072	0.041	0.093	0.083	0.259	0.188	0.408
YOR157C	PUP1	20S proteasome subunit (beta2)	0.774	0.195	0.638	0.744	0.905	0.714	0.777	0.88	0.657	0.7	0.383	0.654	0.458	0.939
